PlayerName,Position,MarketValue,PPS,S1 FP/G,S2 FP/G,S3 FP/G,S4 FP/G,S5 FP/G,S6 FP/G,S7 FP/G,S8 FP/G,S9 FP/G,S10 FP/G,S11 FP/G,S12 FP/G,S1 GP,S2 GP,S3 GP,S4 GP,S5 GP,S6 GP,S7 GP,S8 GP,S9 GP,S10 GP,S11 GP,S12 GP
Cameron Thomas,"G,F,Flx",12.0,34.327975,20.67,22.49,47.09,52.12,,,,,,,,,67.0,57.0,66.0,25.0,,,,,,,,
Kawhi Leonard,"F,Flx",36.0,34.051991666666666,0.0,69.75,71.04,62.05,,,,,,,,,0.0,52.0,68.0,37.0,,,,,,,,
Bradley Beal,"G,Flx",12.0,33.955693333333336,59.8,60.08,55.42,49.4,,,,,,,,,40.0,50.0,53.0,53.0,,,,,,,,
Jonathan Kuminga,"F,C,Flx",2.0,33.87368,25.37,30.46,42.59,39.53,,,,,,,,,70.0,67.0,74.0,47.0,,,,,,,,
Herbert Jones,"F,Flx",1.0,33.153200000000005,38.67,39.44,42.87,41.2,,,,,,,,,78.0,66.0,76.0,20.0,,,,,,,,
Dyson Daniels,"G,F,Flx",3.0,33.04135333333333,0.0,21.71,32.28,62.05,,,,,,,,,0.0,59.0,61.0,76.0,,,,,,,,
Kentavious Caldwell-Pope,"G,F,Flx",1.0,32.9545,37.82,38.91,36.46,30.69,,,,,,,,,77.0,76.0,76.0,77.0,,,,,,,,
Wendell Carter,"C,Flx",1.0,32.905143333333335,57.06,52.86,42.0,38.47,,,,,,,,,62.0,57.0,55.0,68.0,,,,,,,,
Gary Trent,"G,F,Flx",2.0,32.67468,47.74,44.74,37.27,32.45,,,,,,,,,70.0,66.0,71.0,74.0,,,,,,,,
Tre Jones,"G,Flx",1.0,32.651666666666664,25.04,48.84,45.26,33.04,,,,,,,,,69.0,68.0,77.0,46.0,,,,,,,,
Bogdan Bogdanovic,"G,F,Flx",9.0,32.13458333333333,46.35,41.81,49.46,33.87,,,,,,,,,63.0,54.0,79.0,54.0,,,,,,,,
Jalen Suggs,"G,Flx",2.0,31.905310000000007,34.54,34.32,42.69,48.09,,,,,,,,,48.0,53.0,75.0,35.0,,,,,,,,
Victor Wembanyama,"C,Flx",76.0,30.786015000000003,0.0,0.0,81.13,90.24,,,,,,,,,0.0,0.0,71.0,46.0,,,,,,,,
Jerami Grant,"F,Flx",2.0,30.752195000000004,48.38,53.03,49.24,40.17,,,,,,,,,47.0,63.0,54.0,47.0,,,,,,,,
Rui Hachimura,"F,Flx",1.0,30.729946666666667,30.76,29.35,38.71,41.73,,,,,,,,,42.0,63.0,68.0,59.0,,,,,,,,
Collin Sexton,"G,Flx",8.0,30.45766666666666,32.82,35.35,50.41,45.46,,,,,,,,,11.0,48.0,78.0,63.0,,,,,,,,
T.J. McConnell,"G,Flx",1.0,30.197159999999997,37.59,37.97,39.48,34.28,,,,,,,,,27.0,75.0,71.0,79.0,,,,,,,,
Jabari Smith,"F,Flx",5.0,29.993053333333332,0.0,40.49,48.25,40.51,,,,,,,,,0.0,79.0,76.0,57.0,,,,,,,,
Andre Drummond,"C,Flx",1.0,29.988746666666668,44.27,28.31,39.48,33.9,,,,,,,,,73.0,67.0,79.0,40.0,,,,,,,,
Kelly Olynyk,"C,Flx",2.0,29.838283333333337,35.12,47.78,44.63,35.36,,,,,,,,,40.0,68.0,78.0,44.0,,,,,,,,
Alex Caruso,"G,F,Flx",7.0,29.77507,38.85,33.16,47.55,35.59,,,,,,,,,41.0,67.0,71.0,54.0,,,,,,,,
Zion Williamson,"F,Flx",33.0,29.413075000000003,0.0,69.55,63.01,70.3,,,,,,,,,0.0,29.0,70.0,30.0,,,,,,,,
Duncan Robinson,"G,F,Flx",,28.56925166666667,32.06,17.52,38.82,32.51,,,,,,,,,79.0,42.0,68.0,74.0,,,,,,,,
Kyle Anderson,"F,Flx",1.0,28.09560666666667,35.3,46.49,32.35,27.05,,,,,,,,,69.0,69.0,79.0,61.0,,,,,,,,
Khris Middleton,"F,Flx",14.0,28.023201666666672,59.5,45.33,51.2,41.05,,,,,,,,,66.0,33.0,55.0,37.0,,,,,,,,
