ID,Player,Team,Position,RkOv,Status,FPts,FP/G,GP,FG-,3PTM,FT-,PTS,OREB,REB,AST,ST,BLK,TO,TF,EJ,3D,2D
*0622z*,Orlando Robinson,ORL,"C,Flx",305,FA,1195,27.16,44,145,17,16,303,89,220,77,17,16,49,0,0,0,4
*04xdu*,Drew Eubanks,SAC,"C,Flx",306,FA,1177,19.3,61,79,3,24,280,60,226,54,12,39,41,3,1,0,0
*06mly*,Quinten Post,GS,"F,C,Flx",308,FA,1174,27.95,42,151,73,6,340,35,148,56,16,18,33,1,1,0,0
*06220*,Jaden Hardy,DAL,"G,Flx",307,FA,1174,20.6,57,234,76,26,496,9,89,81,28,5,82,1,0,0,0
*04qs2*,Moritz Wagner,ORL,"C,Flx",309,FA,1158,38.6,30,109,27,31,386,40,148,42,24,12,49,1,0,0,1
*052fs*,Garrison Mathews,ATL,"G,F,Flx",310,FA,1152,24.51,47,155,85,14,353,13,87,60,26,15,31,1,0,0,0
*06ca5*,Kris Murray,POR,"F,Flx",311,FA,1140,16.52,69,162,27,31,287,76,182,68,35,17,43,0,0,0,1
*04qsj*,Bruce Brown,DEN,"G,Flx",312,FA,1129,27.54,41,179,27,12,340,40,164,84,34,10,39,6,1,0,0
*06cdd*,Andre Jackson,MIL,"G,Flx",313,FA,1118,16.69,67,103,30,12,230,65,182,83,34,14,58,2,2,0,0
*0622i*,Gui Santos,GS,"F,Flx",314,FA,1111,19.84,56,97,34,13,227,72,172,80,25,10,42,0,0,0,0
*051pq*,Talen Horton-Tucker,CHI,"G,Flx",315,FA,1097,18.91,58,158,41,26,379,19,100,83,21,11,40,0,0,0,0
*055sg*,DaQuan Jeffries,CHA,"G,Flx",316,FA,1095,23.3,47,173,55,6,315,37,135,53,26,25,35,0,0,0,0
*04qsu*,Shake Milton,LAL,"G,Flx",317,FA,1089,19.11,57,139,38,12,315,31,104,102,25,4,40,0,0,0,1
*04qrx*,Josh Okogie,HOU,"G,F,Flx",318,FA,1076,26.9,40,118,32,22,283,45,113,33,48,18,31,0,0,0,1
*04qs0*,Aaron Holiday,HOU,"G,Flx",319,FA,1065,17.18,62,151,72,7,340,13,78,83,19,11,37,2,1,0,0
*042n1*,Brandon Ingram,TOR,"F,Flx",320,FA,1063,59.06,18,178,43,8,400,17,100,93,16,11,69,0,0,0,0
*03al1*,Marcus Smart,LAL,"G,Flx",321,FA,1055,31.03,34,156,49,17,305,18,72,109,39,9,54,4,0,0,0
*03r7r*,Richaun Holmes,WAS,"F,C,Flx",322,FA,992,32,31,49,0,10,230,62,177,42,9,23,21,1,1,0,3
*06ccu*,Tristan Vukcevic,WAS,"C,Flx",323,FA,990,28.29,35,122,38,15,330,26,130,39,11,23,42,1,0,0,1
*04qsn*,Svi Mykhailiuk,UTA,"F,Flx",324,FA,971,25.55,38,184,70,7,334,22,90,76,19,7,52,0,0,0,0
*05qym*,Kenyon Martin,UTA,"F,Flx",325,FA,969,22.53,43,90,15,10,274,30,125,48,17,22,24,0,0,0,0
*06mlo*,KJ Simpson,CHA,"G,Flx",326,FA,951,26.42,36,197,33,9,282,39,109,112,34,6,56,1,1,0,0
*05yoh*,Lindy Waters,SA,"G,Flx",327,FA,943,18.13,52,157,64,3,256,20,110,52,27,11,20,1,0,0,0
