"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*05uic*","Jalen Green","HOU","G,Flx","TRUMP","Active","","907","43.19","99%","-0.1%","9.9","2.5","0.6","18.9","0.5","4.7","2.7","1.0","0.3","2.6","0.10","0.00","0.0","1"
"*03r7z*","Norman Powell","LAC","G,F,Flx","Fent","Active","","907","56.69","93%","-0.7%","8.4","3.9","0.7","23.6","0.3","2.9","2.3","1.1","0.2","2.1","0.00","0.00","0.0","1"
"*06213*","Keegan Murray","SAC","F,Flx","TRH","Reserve","","906","43.14","98%","-0.3%","6.7","1.5","0.2","12.2","2.5","7.8","1.6","0.7","0.7","1.1","0.00","0.00","0.0","7"
"*02nfz*","Draymond Green","GS","F,C,Flx","DBD","Active","","903","47.53","95%","-0.4%","3.8","1.5","1.0","8.8","0.9","6.3","5.9","1.0","1.0","2.3","0.26","0.05","0.0","2"
"*042ne*","Malik Beasley","DET","G,F,Flx","BabyOil","Reserve","","902","41","69%","-0.3%","7.3","3.6","0.4","15.9","0.7","3.0","2.0","0.7","0.0","1.2","0.09","0.00","0.0","1"
"*0621k*","Christian Braun","DEN","G,F,Flx","MylS","Active","","900","50","86%","-0.5%","4.2","1.3","0.8","15.9","1.2","5.1","1.9","1.2","0.7","1.3","0.06","0.00","0.0","0"
"*05uj1*","Cameron Thomas","BKN","G,F,Flx","PRO","Inj Res","@CHI Mon 8:00PM","892","52.47","100%","-0.1%","9.4","2.9","0.9","24.7","0.4","3.2","3.4","0.7","0.1","2.8","0.12","0.00","0.0","0"
"*04azw*","Lauri Markkanen","UTA","F,Flx","EE","Active","","882","55.12","99%","-0.2%","7.4","2.8","0.8","19.6","1.7","6.6","2.3","0.8","0.1","1.4","0.00","0.00","0.0","1"
"*0621i*","Jake LaRavia","MEM","F,Flx","DBD","Active","","871","41.48","52%","-3.8%","3.0","0.9","0.8","8.8","1.5","4.8","3.9","0.8","0.8","1.3","0.00","0.00","0.0","1"
"*001aw*","Kevin Durant","PHO","F,Flx","BabyOil","Active","","860","71.67","99%","+0.3%","8.4","2.8","1.2","26.8","0.3","6.9","3.2","0.6","1.6","3.3","0.00","0.00","0.0","1"
"*051p4*","Ty Jerome","CLE","G,Flx","ROMO","Active","","858","40.86","62%","+4.2%","3.2","1.6","0.2","11.8","0.4","2.0","3.6","1.4","0.0","1.3","0.05","0.00","0.0","0"
"*005kc*","Russell Westbrook","DEN","G,Flx","Fent","Active","","857","47.61","87%","+1.9%","6.3","1.4","1.3","12.0","0.8","4.1","6.1","1.5","0.6","2.4","0.06","0.00","0.1","2"
"*062dn*","Julian Champagnie","SA","F,Flx","ROMO","Active","","853","42.65","57%","+3.7%","5.3","2.5","0.1","11.9","0.9","5.3","1.6","0.9","0.7","1.1","0.00","0.00","0.0","0"
"*042n4*","Jamal Murray","DEN","G,Flx","15","Active","","848","56.53","99%","-0.1%","8.8","2.1","0.8","18.1","0.5","4.1","6.2","1.4","0.5","2.0","0.00","0.00","0.0","1"
"*02ym0*","Andrew Wiggins","GS","F,Flx","Tribunal","Active","","847","49.82","92%","+0.4%","7.1","2.2","1.0","17.4","1.7","4.4","2.4","0.8","0.8","0.9","0.00","0.00","0.0","1"
"*051os*","P.J. Washington","DAL","F,Flx","TRH","Active","","845","52.81","94%","+1.7%","5.6","1.3","0.5","12.5","1.8","8.6","2.3","1.4","1.1","1.6","0.00","0.00","0.0","7"
"*042n3*","Buddy Hield","GS","G,F,Flx","15","Reserve","","831","43.74","92%","-1.6%","6.2","3.4","0.1","15.3","0.7","3.5","1.6","0.8","0.3","1.2","0.00","0.00","0.0","0"
"*0527l*","Luguentz Dort","OKC","G,F,Flx","ROMO","Active","","830","41.5","68%","-6.8%","4.7","2.1","0.3","10.1","1.4","4.6","1.9","1.1","0.8","0.7","0.05","0.00","0.0","0"
"*0621l*","Walker Kessler","UTA","C,Flx","Sar","Reserve","","829","59.21","97%","+0.1%","1.7","0.0","1.0","10.5","3.8","10.4","1.4","0.6","2.9","1.4","0.07","0.00","0.0","8"
"*027pe*","Jimmy Butler","MIA","F,Flx","ROMO","Active","@BOS Mon 7:30PM","824","58.86","98%","+0.1%","5.1","0.5","1.7","18.9","2.4","5.1","4.8","1.2","0.3","1.4","0.00","0.00","0.0","1"
"*06212*","Jabari Smith","HOU","F,C,Flx","J&J","Reserve","","822","39.14","95%","+0.1%","5.3","1.7","0.3","12.0","1.9","6.8","0.8","0.3","0.8","0.6","0.14","0.00","0.0","3"
"*05ujc*","Ayo Dosunmu","CHI","G,Flx","TRH","Active","BKN Mon 8:00PM","819","39","73%","+0.9%","5.0","1.1","0.4","11.9","0.6","3.7","4.1","0.5","0.4","1.3","0.00","0.00","0.0","0"
