PlayerName,Position,MarketValue,PPS
Chet Holmgren,"F,C,Flx",14.0,18.321159420289852
Kyle Lowry,"G,Flx",2.0,17.048023188405796
Mitchell Robinson,"C,Flx",2.0,16.898205797101447
Kevin Porter,"G,Flx",1.0,16.565652173913044
Brandon Miller,"F,Flx",4.0,16.50285797101449
Jarred Vanderbilt,"F,Flx",1.0,16.34985797101449
Brandin Podziemski,"G,F,Flx",0.0,15.754973913043475
Mo Bamba,"C,Flx",0.0,15.604156521739132
Kevin Love,"F,Flx",0.0,15.452382608695652
Scoot Henderson,"G,Flx",2.0,15.23723188405797
Oshae Brissett,"F,Flx",0.0,14.808660869565212
Paul Reed,"F,C,Flx",0.0,14.508537681159419
Robert Williams,"C,Flx",3.0,14.349655072463767
Dereck Lively,"C,Flx",2.0,13.531399999999998
Jaime Jaquez,"G,F,Flx",0.0,12.441228985507246
Steven Adams,"C,Flx",3.0,12.416571014492755
Ben Simmons,"G,C,Flx",4.0,12.411649275362317
Gradey Dick,"G,F,Flx",1.0,11.90491304347826
Trayce Jackson-Davis,"F,C,Flx",0.0,11.363582608695653
Bones Hyland,"G,Flx",0.0,11.08831884057971
Marvin Bagley,"F,C,Flx",0.0,8.955143478260869
Lonzo Ball,"G,Flx",1.0,7.892449275362318
Alex Sarr,"F,C,Flx",0.0,7.776028985507246
Zach Edey,"C,Flx",6.0,7.0782898550724624
Zaccharie Risacher,"F,Flx",1.0,6.4863768115942015
Matas Buzelis,"F,Flx",1.0,5.367652173913043
Dalton Knecht,"G,F,Flx",0.0,5.1325797101449275
Markelle Fultz,"G,Flx",0.0,4.848886956521739
Saddiq Bey,"F,Flx",1.0,3.9914898550724636
James Wiseman,"C,Flx",0.0,3.3954434782608693
Christian Wood,"F,Flx",8.0,2.9449565217391305
Patrick Beverley,"G,Flx",0.0,2.446713043478261
Gordon Hayward,"F,Flx",3.0,2.3735927536231882
Robert Covington,"F,Flx",0.0,1.7902173913043478
Will Barton,"G,Flx",0.0,0.7737260869565218
Kemba Walker,"G,Flx",0.0,0.23966666666666667
John Wall,"G,Flx",2.0,0.0
,Flx,,0.0
