"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*06ccd*","Noah Clowney","BKN","F,C,Flx","J&J","Active","@DEN Fri 9:00PM","394","32.83","57%","-7.3%","5.5","2.7","0.0","11.9","0.8","4.7","1.1","0.5","0.3","1.3","0.17","0.08","0.0","0"
"*06cbz*","Brice Sensabaugh","UTA","F,Flx","EE","Inj Res","","389","35.36","35%","+5.1%","4.1","2.0","0.1","11.5","0.7","3.7","1.7","0.6","0.2","1.4","0.00","0.00","0.0","0"
"*0527l*","Luguentz Dort","OKC","G,F,Flx","ROMO","Reserve","@NY Fri 7:30PM","387","35.18","63%","-3.4%","5.3","2.5","0.2","9.6","1.3","4.2","1.2","1.1","0.5","0.8","0.09","0.00","0.0","0"
"*051oi*","Ja Morant","MEM","G,Flx","Sar","Active","","385","55","100%","-0.1%","9.0","1.9","1.4","21.0","0.9","4.3","6.0","1.3","0.4","4.0","0.14","0.00","0.0","1"
"*06ccf*","Ausar Thompson","DET","F,Flx","BabyOil","Inj Res","","374","34","81%","-0.4%","2.9","0.2","0.8","8.2","1.5","5.2","1.3","2.0","0.2","1.5","0.00","0.00","0.0","1"
"*042nw*","Malcolm Brogdon","WAS","G,Flx","Fent","Active","@CHI Fri 8:00PM","373","41.44","67%","-5.1%","6.9","0.9","0.3","13.9","0.9","3.8","5.3","0.7","0.2","1.9","0.00","0.00","0.0","0"
"*05qtl*","Cole Anthony","ORL","G,Flx","EE","Reserve","MIL Fri 7:00PM","372","31","39%","+0.9%","6.5","1.0","0.3","11.0","0.7","3.5","3.9","0.6","0.6","2.3","0.17","0.00","0.0","0"
"*03byk*","Jordan Clarkson","UTA","G,F,Flx","PRO","Reserve","","371","41.22","74%","-6.1%","7.0","2.1","0.9","17.4","0.4","2.7","3.8","0.9","0.7","3.2","0.22","0.11","0.0","0"
"*000zv*","Al Horford","BOS","F,C,Flx","Fent","Active","SAC Fri 7:30PM","369","33.55","71%","-2.8%","4.9","1.5","0.2","7.2","1.2","5.8","1.9","0.8","0.6","0.6","0.00","0.00","0.0","0"
"*04ex8*","Dillon Brooks","HOU","G,F,Flx","420","Reserve","","363","40.33","60%","-4.1%","8.6","3.0","0.1","15.4","1.4","4.6","1.8","0.8","0.1","0.9","0.11","0.00","0.0","0"
"*03nwl*","Terry Rozier","MIA","G,Flx","ROMO","Active","","361","30.08","85%","-0.4%","7.3","0.9","0.2","11.9","0.8","4.8","2.3","0.8","0.4","1.5","0.08","0.08","0.0","0"
"*0621i*","Jake LaRavia","MEM","F,Flx","MylS","Active","","360","30","40%","-2.6%","2.7","1.0","0.5","7.4","1.3","3.8","3.0","0.7","0.2","2.1","0.00","0.00","0.0","1"
"*04qrl*","Wendell Carter","ORL","F,C,Flx","Tribunal","Active","MIL Fri 7:00PM","358","29.83","74%","-1.1%","4.4","0.5","0.9","9.3","1.1","6.0","1.8","0.6","0.6","0.8","0.25","0.08","0.0","1"
"*031m4*","Dennis Schroder","GS","G,Flx","15","Reserve","@IND Fri 7:00PM","351","27","92%","-1.3%","6.8","1.4","0.5","10.2","0.5","2.2","5.0","0.6","0.2","2.3","0.31","0.00","0.0","0"
"*03e6n*","Jusuf Nurkic","PHO","C,Flx","MylS","Active","","348","38.67","89%","-1.6%","2.7","0.6","0.4","8.0","1.9","7.8","2.9","0.9","0.7","2.2","0.11","0.11","0.0","2"
"*051p4*","Ty Jerome","CLE","G,Flx","ROMO","Reserve","","345","28.75","35%","-2.6%","4.4","1.2","0.2","7.8","0.8","2.4","3.3","1.2","0.0","0.9","0.08","0.00","0.0","0"
"*06213*","Keegan Murray","SAC","F,Flx","TRH","Reserve","@BOS Fri 7:30PM","339","37.67","95%","-1.1%","6.2","1.9","0.0","10.3","2.0","6.8","1.0","0.7","0.6","0.4","0.00","0.00","0.0","2"
"*04jwd*","Royce O'Neale","PHO","G,F,Flx","BabyOil","Inj Res","","334","41.75","51%","-5.5%","4.3","2.6","0.0","9.4","0.3","4.1","3.3","1.0","0.6","0.9","0.13","0.00","0.0","0"
