"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*04848*","Fred VanVleet","HOU","G,Flx","420","Inj Res","","1160","52.73","98%","-0.6%","7.1","2.9","0.4","13.6","0.8","3.7","5.7","1.7","0.5","1.8","0.05","0.05","0.0","1"
"*03ad2*","Myles Turner","IND","C,Flx","Tribunal","Reserve","","1154","50.17","100%","0%","5.7","2.0","0.7","14.9","1.4","6.0","1.4","0.8","1.5","1.3","0.04","0.00","0.0","5"
"*04qrm*","Collin Sexton","UTA","G,Flx","DBD","Inj Res","@LAL Mon 10:30PM","1154","50.17","96%","-0.9%","7.9","2.0","0.4","19.9","1.4","3.3","5.0","0.7","0.0","2.7","0.09","0.00","0.0","1"
"*01uyj*","Paul George","PHI","G,F,Flx","TRUMP","Reserve","","1139","54.24","97%","+0.1%","8.0","2.7","0.4","17.0","0.5","5.3","4.1","1.7","0.4","2.5","0.10","0.00","0.0","2"
"*02ym0*","Andrew Wiggins","MIA","F,Flx","Tribunal","Reserve","BOS Mon 7:30PM","1124","48.87","94%","-0.1%","8.3","2.2","0.9","17.9","1.5","4.7","2.4","0.9","0.8","1.4","0.00","0.00","0.0","2"
"*027oo*","Jonas Valanciunas","SAC","C,Flx","MylS","Active","@DAL Mon 8:30PM","1124","38.76","92%","-1.7%","3.9","0.2","0.2","10.3","2.3","8.1","2.2","0.5","0.3","1.7","0.03","0.00","0.0","7"
"*04ewn*","OG Anunoby","NY","G,F,Flx","15","Inj Res","","1121","46.71","98%","-0.4%","6.1","2.0","0.5","15.3","1.5","4.4","2.0","1.3","0.5","1.3","0.00","0.00","0.0","1"
"*03nwn*","Bobby Portis","MIL","F,C,Flx","TRH","Active","GS Mon 8:00PM","1117","53.19","94%","+2.7%","7.0","1.5","0.1","14.9","1.8","9.3","2.8","0.8","0.5","1.2","0.00","0.00","0.0","6"
"*042n6*","Jakob Poeltl","TOR","C,Flx","15","Inj Res","","1107","55.35","99%","-0.2%","3.1","0.0","0.6","11.9","2.8","8.7","3.0","1.2","1.3","1.6","0.00","0.00","0.0","5"
"*06mk7*","Kel'el Ware","MIA","F,C,Flx","Sar","Active","BOS Mon 7:30PM","1099","43.96","81%","-0.1%","3.5","0.9","0.4","10.8","1.8","7.4","1.0","0.7","1.2","0.9","0.00","0.00","0.0","6"
"*051pb*","Nicolas Claxton","BKN","C,Flx","15","Reserve","CHA Mon 7:30PM","1090","40.37","95%","+0.6%","4.4","0.0","1.0","10.0","2.0","7.3","1.7","1.1","1.3","1.2","0.07","0.04","0.0","6"
"*03ad0*","Tyus Jones","PHO","G,Flx","DBD","Active","","1070","38.21","89%","-1.2%","4.6","1.9","0.1","10.2","0.5","2.3","5.1","0.6","0.1","1.5","0.00","0.00","0.0","2"
"*02nf3*","Bradley Beal","PHO","G,F,Flx","Tribunal","Inj Res","","1061","48.23","96%","+0.3%","6.5","2.0","0.5","17.0","0.7","2.8","3.5","1.1","0.5","1.8","0.00","0.00","0.0","0"
"*05uiv*","Keon Johnson","BKN","G,Flx","J&J","Reserve","CHA Mon 7:30PM","1054","37.64","57%","+17.7%","7.6","1.8","0.5","13.5","0.9","4.0","2.5","1.2","0.4","1.4","0.04","0.00","0.0","0"
"*027p4*","Tobias Harris","DET","F,Flx","EE","Active","","1053","40.5","97%","+0.2%","5.8","0.9","0.2","12.7","0.8","5.1","2.3","0.9","0.8","1.0","0.04","0.00","0.0","2"
"*04azw*","Lauri Markkanen","UTA","F,Flx","MylS","Active","@LAL Mon 10:30PM","1048","52.4","99%","-0.1%","9.5","3.4","0.5","19.9","1.8","6.2","1.1","0.8","0.7","1.4","0.00","0.00","0.0","3"
"*027ou*","Klay Thompson","DAL","G,F,Flx","TRH","Active","SAC Mon 8:30PM","1047","41.88","91%","-0.4%","6.5","3.0","0.1","14.0","0.5","3.4","2.3","0.9","0.5","1.7","0.00","0.00","0.0","0"
"*0621u*","Andrew Nembhard","IND","G,Flx","EE","Reserve","","1023","42.62","80%","+2%","4.6","0.8","0.8","11.8","0.7","3.8","5.3","1.3","0.2","1.9","0.17","0.00","0.0","0"
"*04ewd*","Luke Kennard","MEM","G,Flx","BabyOil","Reserve","","1017","40.68","35%","-6.2%","4.0","2.5","0.1","11.1","0.7","3.2","3.6","0.7","0.0","1.3","0.04","0.00","0.0","0"
"*06213*","Keegan Murray","SAC","F,Flx","TRH","Active","@DAL Mon 8:30PM","1013","44.04","97%","0%","5.7","2.0","0.2","11.8","1.9","6.4","1.2","1.0","0.9","0.8","0.00","0.00","0.0","3"
"*06mkd*","Yves Missi","NO","C,Flx","420","Reserve","@OKC Mon 8:00PM","1010","42.08","71%","-1%","2.7","0.0","0.8","8.0","3.2","8.0","1.6","0.4","1.8","1.3","0.00","0.00","0.0","2"
"*06mk1*","Zach Edey","MEM","C,Flx","MylS","Active","","1008","42","93%","+1.4%","2.7","0.3","0.5","8.9","3.4","8.0","1.1","0.5","1.3","1.4","0.00","0.00","0.0","6"
"*0015e*","Mike Conley","MIN","G,Flx","Sar","Reserve","@CLE Mon 7:00PM","1008","36","72%","-0.3%","4.1","1.7","0.1","7.7","0.5","2.5","4.7","1.0","0.2","0.9","0.00","0.00","0.0","0"
"*06mk6*","Carlton Carrington","WAS","G,Flx","DBD","Reserve","SA Mon 7:00PM","998","33.27","65%","+6%","4.5","1.7","0.1","8.6","0.5","3.8","3.8","0.5","0.1","1.2","0.03","0.00","0.0","2"
"*0623m*","Keon Ellis","SAC","G,F,Flx","J&J","Active","@DAL Mon 8:30PM","998","38.38","57%","+1.2%","3.2","2.0","0.2","9.2","0.8","2.8","1.4","1.7","0.7","0.8","0.00","0.00","0.0","0"
"*051oj*","RJ Barrett","TOR","G,F,Flx","ROMO","Reserve","","996","55.33","99%","-0.1%","7.8","1.6","2.1","19.6","1.1","6.4","5.3","0.9","0.2","2.6","0.11","0.00","0.0","3"
"*05qto*","LaMelo Ball","CHA","G,Flx","EE","Active","@BKN Mon 7:30PM","995","71.07","100%","0%","12.9","3.4","1.1","24.1","1.0","5.0","7.9","1.6","0.4","2.6","0.07","0.00","0.0","5"
"*051oy*","Goga Bitadze","ORL","C,Flx","Fent","Active","ATL Mon 7:00PM","995","47.38","71%","-1.9%","2.4","0.1","1.1","9.0","2.6","8.7","2.5","0.9","1.6","1.4","0.14","0.05","0.0","6"
