ID,Player,Team,Position,RkOv,Status,FPts,FP/G
*04qrw*,Kevin Huerter,CHI,"G,Flx",106,FA,399,44.33
*06mk3*,Matas Buzelis,CHI,"F,Flx",121,GOD,367,40.78
*05qty*,Jalen Smith,CHI,"C,Flx",158,FA,313,34.78
*05qsl*,Patrick Williams,CHI,"F,Flx",173,FA,295,32.78
*05ujc*,Ayo Dosunmu,CHI,"G,F,Flx",185,FA,283,40.43
*05qsk*,Isaac Okoro,CHI,"G,F,Flx",204,FA,248,27.56
*06cdf*,Julian Phillips,CHI,"F,Flx",359,FA,44,5.5
*0621h*,Dalen Terry,CHI,"G,F,Flx",395,FA,28,5.6
*04qs9*,Jevon Carter,CHI,"G,Flx",444,FA,4,4
*051on*,Coby White,CHI,"G,Flx",1635,TRUMP,0,0
*06v5u*,Noa Essengue,CHI,"F,Flx",806,FA,0,0
*04ewc*,Zach Collins,CHI,"F,C,Flx",682,FA,0,0
*06vyb*,Lachlan Olbrich,CHI,"F,C,Flx",1322,FA,0,0
*06pfe*,Trentyn Flowers,CHI,"F,Flx",833,FA,0,0
*06pu0*,Emanuel Miller,CHI,"F,Flx",1225,FA,0,0
*03ku7*,Jarell Eddie,CHI,"G,Flx",787,FA,0,0
*04qrp*,Miles Bridges,CHA,"F,Flx",42,BALL,536,59.56
*05qto*,LaMelo Ball,CHA,"G,Flx",58,BALL,511,85.17
*06v80*,Ryan Kalkbrenner,CHA,"C,Flx",88,GN,443,49.22
*06v5n*,Kon Knueppel,CHA,"G,F,Flx",94,Bomb,432,48
*06226*,Moussa Diabate,CHA,"C,Flx",113,ASS,388,43.11
*04qrm*,Collin Sexton,CHA,"G,Flx",130,GWBush,355,44.38
*06v7z*,Sion James,CHA,"G,Flx",178,FA,290,32.22
*05uis*,Tre Mann,CHA,"G,Flx",194,FA,265,29.44
*06mjy*,Tidjane Salaun,CHA,"F,Flx",290,FA,110,15.71
*06v5o*,Liam McNeeley,CHA,"F,Flx",305,FA,96,13.71
*06cca*,Brandon Miller,CHA,"G,F,Flx",343,TRUMP,59,29.5
*06mlo*,KJ Simpson,CHA,"G,Flx",344,FA,59,19.67
*03r7v*,Pat Connaughton,CHA,"G,F,Flx",345,FA,56,11.2
*031m9*,Mason Plumlee,CHA,"C,Flx",430,FA,11,3.67
*051p2*,Grant Williams,CHA,"F,Flx",1653,FA,0,0
*05qti*,Josh Green,CHA,"G,F,Flx",897,FA,0,0
*06mlt*,Antonio Reeves,CHA,"G,F,Flx",1415,FA,0,0
*06hdy*,Drew Peterson,CHA,"F,Flx",1363,FA,0,0
*044te*,Mike Tobey,CHA,"C,Flx",1564,FA,0,0
*03lls*,Jaylen Brown,BOS,"G,F,Flx",18,GWBush,634,63.4
*04ewt*,Derrick White,BOS,"G,Flx",49,GWBush,524,52.4
*05qt1*,Payton Pritchard,BOS,"G,Flx",59,GOD,510,51
*05ujd*,Neemias Queta,BOS,"C,Flx",76,PartyMar,465,46.5
*06228*,Josh Minott,BOS,"F,Flx",107,W <small>(Sun)</small>,399,44.33
*04qs1*,Anfernee Simons,BOS,"G,Flx",139,FA,340,34
*05uug*,Sam Hauser,BOS,"F,Flx",179,FA,289,28.9
*05ujq*,Luka Garza,BOS,"C,Flx",243,FA,185,20.56
*06v5d*,Hugo Gonzalez,BOS,"G,F,Flx",278,FA,123,15.38
*06mkm*,Baylor Scheierman,BOS,"G,Flx",292,FA,106,13.25
*05qtf*,Xavier Tillman,BOS,"C,Flx",299,FA,101,14.43
*06cd1*,Jordan Walsh,BOS,"F,Flx",306,FA,94,15.67
*04fj8*,Chris Boucher,BOS,"F,Flx",321,FA,76,12.67
*06v8c*,Amari Williams,BOS,"F,C,Flx",415,FA,16,8
*06233*,Ron Harper,BOS,"F,Flx",424,FA,12,6
*03xmv*,Jayson Tatum,BOS,"F,Flx",1532,FA,0,0
*06va1*,Max Shulga,BOS,"G,Flx",1469,FA,0,0
*03woy*,Coty Clarke,BOS,"F,Flx",675,FA,0,0
*03kqm*,Andre Dawkins,BOS,"G,Flx",738,FA,0,0
*051pb*,Nicolas Claxton,BKN,"C,Flx",55,9/11ST,513,57
*04qrr*,Michael Porter,BKN,"F,Flx",62,GWBush,501,62.62
*051ps*,Terance Mann,BKN,"G,F,Flx",123,UBER,363,40.33
*05uj1*,Cameron Thomas,BKN,"G,F,Flx",160,GN,309,38.62
*05uj3*,DayRon Sharpe,BKN,"C,Flx",188,FA,282,31.33
*06v5r*,Egor Demin,BKN,"G,Flx",220,HAIRY,226,28.25
*0622e*,Tyrese Martin,BKN,"G,Flx",221,FA,226,25.11
*06ccd*,Noah Clowney,BKN,"F,C,Flx",223,FA,222,24.67
*05uik*,Ziaire Williams,BKN,"G,F,Flx",230,FA,202,28.86
*06cdc*,Jalen Wilson,BKN,"F,Flx",270,FA,134,16.75
*06v5t*,Ben Saraf,BKN,"G,Flx",320,FA,77,12.83
*06v5s*,Drake Powell,BKN,"G,F,Flx",380,FA,33,11
*06v5p*,Nolan Traore,BKN,"G,Flx",397,FA,27,9
*06224*,E.J. Liddell,BKN,"F,Flx",403,FA,24,8
*06v5q*,Danny Wolf,BKN,"F,C,Flx",439,FA,6,6
*04yk1*,Haywood Highsmith,BKN,"F,Flx",952,FA,0,0
*062do*,Tyson Etienne,BKN,"G,Flx",1704,FA,-4,-2
*05uiu*,Jalen Johnson,ATL,"F,Flx",37,GOD,541,67.62
*06217*,Dyson Daniels,ATL,"G,F,Flx",53,TRUMP,518,51.8
*05qtt*,Onyeka Okongwu,ATL,"C,Flx",56,UBER,513,51.3
*051ox*,Nickeil Alexander-Walker,ATL,"G,Flx",105,PRO,402,44.67
*03el5*,Kristaps Porzingis,ATL,"F,C,Flx",108,GWBush,395,56.43
*06ccz*,Mouhamed Gueye,ATL,"F,Flx",172,FA,296,29.6
*06mjt*,Zaccharie Risacher,ATL,"F,Flx",183,GN,285,35.62
*04qrk*,Trae Young,ATL,"G,Flx",205,9/11ST,245,49
*04ewd*,Luke Kennard,ATL,"G,Flx",218,FA,229,28.62
*065b8*,Keaton Wallace,ATL,"G,Flx",222,FA,226,25.11
*05qtk*,Vit Krejci,ATL,"G,Flx",273,FA,130,21.67
*06v5c*,Asa Newell,ATL,"F,Flx",276,FA,128,25.6
*0621v*,Caleb Houstan,ATL,"F,Flx",393,FA,28,7
*06mm6*,NFaly Dante,ATL,"C,Flx",396,FA,27,6.75
*06cep*,Jacob Toppin,ATL,"F,Flx",427,FA,12,4
*06mlp*,Nikola Djurisic,ATL,"F,Flx",764,FA,0,0
*06vy0*,Eli John Ndiaye,ATL,"F,Flx",1281,FA,0,0
*04exn*,Alpha Kaba,ATL,"F,Flx",1054,FA,0,0
