Player ID,Pick,Pos,Player,Team,Bid,Fantasy Team,Time (EDT),,,,,
*01uz7*,54,F,Gordon Hayward,CHA,8,Team IAMCANADA,10/8/2022 4:58,,,,,
*05qsq*,55,G,Tyrese Maxey,PHI,12,Pizza Time 🍕,10/8/2022 4:59,,,,,
*049kd*,56,C,Deandre Ayton,PHO,9,2024 MVP Ding Yanyuhang,10/8/2022 5:00,,,,,
*03ajv*,57,F,Julius Randle,NY,13,Zenkevafuck,10/8/2022 5:02,,,,,
*051p8*,58,G,Jordan Poole,GS,6,Team IAMCANADA,10/8/2022 5:03,,,,,
*03ad4*,59,G,D'Angelo Russell,MIN/LAL,7,SpeckledGnu,10/8/2022 5:04,,,,,
*049kb*,60,G,De'Aaron Fox,SAC,15,LeBronto,10/8/2022 5:05,,,,,
*02ng3*,61,F,Khris Middleton,MIL,10,SpeckledGnu,10/8/2022 5:06,,,,,
*03lg1*,62,G,Ben Simmons,BKN,7,2024 MVP Ding Yanyuhang,10/8/2022 5:07,,,,,
*042n3*,63,G,Buddy Hield,IND,4,Tiger Blood,10/8/2022 5:09,,,,,
*031lx*,64,G,CJ McCollum,NO,6,I Got You Kobe,10/8/2022 5:10,,,,,
*03ad2*,65,C,Myles Turner,IND,3,Gianni’s Secret Move,10/8/2022 5:11,,,,,
*04ewk*,66,F,John Collins,ATL,8,Pizza Time 🍕,10/8/2022 5:12,,,,,
*02nfz*,67,F,Draymond Green,GS,3,2024 MVP Ding Yanyuhang,10/8/2022 5:14,,,,,
*027ou*,68,G,Klay Thompson,GS,5,Team IAMCANADA,10/8/2022 5:15,,,,,
*0015b*,69,G,Kyle Lowry,MIA,6,Team IAMCANADA,10/8/2022 5:16,,,,,
*05uid*,70,C,Evan Mobley,CLE,9,Tiger Blood,10/8/2022 5:17,,,,,
*027p4*,71,F,Tobias Harris,PHI,3,Pizza Time 🍕,10/8/2022 5:18,,,,,
*03nwl*,72,G,Terry Rozier,CHA,11,2024 MVP Ding Yanyuhang,10/8/2022 5:19,,,,,
*05qt3*,73,G,Desmond Bane,MEM,6,I Got You Kobe,10/8/2022 5:20,,,,,
*02nf7*,74,F,Harrison Barnes,SAC,2,SpeckledGnu,10/8/2022 5:21,,,,,
*05uiq*,75,C,Alperen Sengun,HOU,2,I Got You Kobe,10/8/2022 5:21,,,,,
*042n4*,76,G,Jamal Murray,DEN,3,2024 MVP Ding Yanyuhang,10/8/2022 5:23,,,,,
*03nwn*,77,F,Bobby Portis,MIL,4,ManchuWok,10/8/2022 5:24,,,,,
*049ka*,78,G,Lonzo Ball,CHI,3,Gianni’s Secret Move,10/8/2022 5:25,,,,,
*051oj*,79,G,RJ Barrett,NY,5,ManchuWok,10/8/2022 5:26,,,,,
*051p9*,80,F,Keldon Johnson,SA,5,LeBronto,10/8/2022 5:28,,,,,
*042n1*,81,F,Brandon Ingram,NO,7,ManchuWok,10/8/2022 5:29,,,,,
*05qtr*,82,G,Devin Vassell,SA,4,2024 MVP Ding Yanyuhang,10/8/2022 5:30,,,,,
*031lz*,83,C,Steven Adams,MEM,2,SpeckledGnu,10/8/2022 5:30,,,,,
*05qty*,84,F,Jalen Smith,IND,2,I Got You Kobe,10/8/2022 5:32,,,,,
*04ewr*,85,F,Kyle Kuzma,WAS,3,Pizza Time 🍕,10/8/2022 5:33,,,,,
*04ewu*,86,G,Josh Hart,POR/NY,2,Tiger Blood,10/8/2022 5:34,,,,,
*05qub*,87,C,Isaiah Stewart,DET,1,SpeckledGnu,10/8/2022 5:36,,,,,
*04qrm*,88,G,Collin Sexton,UTA,1,Gianni’s Secret Move,10/8/2022 5:37,,,,,
*051pa*,89,G,Kevin Porter,HOU,3,ManchuWok,10/8/2022 5:38,,,,,
*04azw*,90,F,Lauri Markkanen,UTA,2,LeBronto,10/8/2022 5:38,,,,,
*059ca*,91,F,Oshae Brissett,IND,1,Pizza Time 🍕,10/8/2022 5:39,,,,,
*0621l*,92,C,Walker Kessler,UTA,2,Tiger Blood,10/8/2022 5:40,,,,,
*04qsa*,93,G,Jalen Brunson,NY,2,ManchuWok,10/8/2022 5:40,,,,,
*05qt0*,94,F,Saddiq Bey,DET/ATL,3,ManchuWok,10/8/2022 5:41,,,,,
*04qrl*,95,C,Wendell Carter,ORL,2,LeBronto,10/8/2022 5:42,,,,,
