"ID","Player","Team","Position","RkOv","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*0621l*","Walker Kessler","UTA","C,Flx","55","Tribunal","Active","@MEM Wed 8:00PM","3129","63.86","98%","0%","1.9","0.0","1.3","11.6","4.7","12.3","1.6","0.6","2.4","1.5","0.04","0.00","0.0","26"
"*05uir*","Trey Murphy","NO","F,Flx","56","420","Active","","3081","61.62","99%","0%","8.8","3.1","0.5","21.7","0.9","5.1","3.7","1.1","0.8","2.0","0.06","0.00","0.0","2"
"*04qrn*","Mikal Bridges","NY","G,F,Flx","57","DBD","Active","@POR Wed 10:00PM","3071","47.98","99%","-0.2%","7.4","2.1","0.3","17.2","0.9","3.2","3.5","0.9","0.6","1.5","0.00","0.00","0.0","1"
"*051p8*","Jordan Poole","WAS","G,Flx","58","DBD","Active","","3057","56.61","99%","-0.1%","9.4","3.5","0.5","21.1","0.5","3.3","4.7","1.4","0.5","3.2","0.11","0.00","0.0","1"
"*051oj*","RJ Barrett","TOR","G,F,Flx","59","ROMO","Active","PHI Wed 7:30PM","3045","59.71","99%","-0.1%","9.0","1.9","1.9","21.6","1.0","6.5","5.7","0.8","0.3","3.0","0.08","0.00","0.0","10"
"*05qu0*","Jaden McDaniels","MIN","F,Flx","60","TRH","Active","@DEN Wed 10:00PM","3045","46.14","89%","-0.3%","5.4","1.3","0.3","12.6","1.6","5.9","2.1","1.5","0.8","1.1","0.05","0.02","0.0","9"
"*03ad2*","Myles Turner","IND","C,Flx","61","PRO","Active","","3039","53.32","100%","0%","6.0","2.2","0.7","15.5","1.2","6.5","1.6","0.8","1.9","1.8","0.04","0.00","0.0","10"
"*02xg9*","Rudy Gobert","MIN","C,Flx","62","Fent","Active","@DEN Wed 10:00PM","3034","54.18","98%","-0.1%","2.3","0.0","1.1","11.1","3.5","10.4","1.8","0.7","1.5","1.4","0.07","0.00","0.0","25"
"*051on*","Coby White","CHI","G,Flx","63","DBD","Active","","3025","52.16","99%","0%","8.4","3.0","0.3","19.1","0.3","3.5","4.5","1.0","0.2","2.3","0.00","0.00","0.0","1"
"*005ki*","Brook Lopez","MIL","C,Flx","64","Fent","Active","","3006","47.71","97%","-0.3%","4.9","1.8","0.3","12.5","1.3","5.0","1.7","0.7","1.9","1.0","0.00","0.00","0.0","2"
"*05qtj*","Deni Avdija","POR","G,F,Flx","65","PRO","Active","NY Wed 10:00PM","2982","49.7","97%","-0.3%","5.7","1.5","1.1","15.1","1.3","6.5","3.6","0.9","0.5","2.5","0.02","0.00","0.0","10"
"*05qtt*","Onyeka Okongwu","ATL","C,Flx","66","420","Active","CHA Wed 7:30PM","2981","51.4","96%","0%","3.7","0.5","0.8","12.7","3.0","8.4","2.2","0.9","0.9","1.1","0.05","0.00","0.0","18"
"*04ewn*","OG Anunoby","NY","G,F,Flx","67","15","Active","@POR Wed 10:00PM","2970","51.21","98%","-0.3%","6.9","2.2","0.5","16.5","1.4","4.8","2.2","1.4","0.9","1.4","0.02","0.00","0.0","1"
"*03ajv*","Julius Randle","MIN","F,C,Flx","68","Tribunal","Active","@DEN Wed 10:00PM","2964","55.92","100%","0%","7.4","1.5","0.9","18.7","2.2","7.3","4.7","0.7","0.2","2.8","0.00","0.00","0.0","12"
"*04qrp*","Miles Bridges","CHA","F,Flx","69","Tribunal","Active","@ATL Wed 7:30PM","2963","59.26","99%","0%","9.8","2.3","0.5","21.2","1.2","7.8","3.8","0.8","0.7","2.1","0.14","0.02","0.0","10"
"*042n6*","Jakob Poeltl","TOR","C,Flx","70","15","Reserve","PHI Wed 7:30PM","2961","59.22","98%","-0.4%","3.9","0.0","0.9","14.2","3.4","9.7","2.9","1.2","1.2","1.9","0.02","0.00","0.0","20"
"*005kc*","Russell Westbrook","DEN","G,Flx","71","Fent","Active","MIN Wed 10:00PM","2941","50.71","91%","-0.2%","5.7","1.2","1.1","12.8","1.5","5.0","6.1","1.4","0.5","3.0","0.05","0.00","0.1","9"
"*04kj6*","Luka Doncic","LAL","G,Flx","72","MylS","Active","","2902","85.35","100%","0%","11.5","3.3","1.7","26.9","0.8","8.4","7.9","1.9","0.4","3.7","0.26","0.00","0.1","17"
"*05uii*","Franz Wagner","ORL","G,F,Flx","73","MylS","Active","","2897","62.98","100%","0%","10.4","1.8","0.8","24.5","1.0","5.5","4.7","1.4","0.4","2.2","0.04","0.00","0.0","3"
"*049kc*","Malik Monk","SAC","G,F,Flx","74","EE","Reserve","","2832","53.43","95%","-0.6%","8.3","2.2","0.4","17.7","0.4","3.8","5.8","1.0","0.6","2.3","0.08","0.00","0.0","4"
"*06cd4*","Toumani Camara","POR","G,F,Flx","75","TRH","Reserve","NY Wed 10:00PM","2818","44.03","74%","-1.7%","4.8","1.5","0.4","10.6","2.3","5.9","2.1","1.5","0.7","1.5","0.00","0.00","0.0","3"
"*042ne*","Malik Beasley","DET","G,F,Flx","76","BabyOil","Active","","2808","42.55","75%","-1%","7.3","3.9","0.6","16.5","0.6","2.8","1.7","1.0","0.1","1.0","0.12","0.02","0.0","1"
"*05qto*","LaMelo Ball","CHA","G,Flx","77","J&J","Active","@ATL Wed 7:30PM","2801","68.32","100%","0%","13.0","3.8","0.9","25.6","1.0","5.3","7.0","1.2","0.3","3.5","0.05","0.00","0.0","11"
"*027p4*","Tobias Harris","DET","F,Flx","78","Tribunal","Active","","2784","44.9","97%","+0.3%","5.9","1.2","0.3","13.9","0.9","6.1","2.2","0.9","0.8","1.1","0.06","0.00","0.0","5"
"*03nwk*","Kelly Oubre Jr.","PHI","G,F,Flx","79","PRO","Inj Res","@TOR Wed 7:30PM","2743","46.49","90%","-1.1%","6.5","1.2","0.7","15.1","1.6","6.2","1.8","1.5","0.5","1.4","0.03","0.00","0.0","10"
"*06213*","Keegan Murray","SAC","F,Flx","80","TRH","Active","","2725","44.67","97%","-0.4%","6.0","1.9","0.2","12.3","2.0","6.8","1.4","0.8","0.9","0.8","0.00","0.00","0.0","11"
"*027oo*","Jonas Valanciunas","SAC","C,Flx","81","MylS","Active","","2697","42.81","95%","-0.5%","3.8","0.1","0.3","11.2","2.5","8.3","2.3","0.5","0.6","1.7","0.08","0.00","0.0","18"
"*031lx*","CJ McCollum","NO","G,Flx","82","420","Reserve","","2687","53.74","98%","-0.3%","9.8","3.1","0.8","21.4","0.7","3.7","3.9","0.8","0.5","1.8","0.06","0.00","0.0","0"
"*03ad0*","Tyus Jones","PHO","G,Flx","83","DBD","Active","@HOU Wed 8:00PM","2684","41.94","78%","-3.5%","4.8","2.0","0.1","10.3","0.5","2.4","5.8","0.9","0.1","1.3","0.00","0.00","0.0","6"
"*051or*","Cameron Johnson","BKN","F,Flx","84","PRO","Active","","2662","54.33","96%","-0.2%","6.9","2.9","0.5","18.9","0.9","4.2","3.1","0.9","0.4","1.7","0.02","0.00","0.0","1"
"*03r7z*","Norman Powell","LAC","G,F,Flx","85","Sar","Inj Res","@MIA Wed 8:00PM","2619","56.93","90%","-3.4%","8.5","3.3","0.9","23.8","0.4","3.5","2.2","1.3","0.2","2.0","0.00","0.00","0.0","1"
"*06mkd*","Yves Missi","NO","C,Flx","86","TRH","Reserve","","2594","41.17","71%","-1.3%","3.0","0.0","0.9","8.8","3.5","8.0","1.3","0.6","1.3","1.2","0.00","0.00","0.0","10"
"*06cby*","Keyonte George","UTA","G,Flx","87","Fent","Active","@MEM Wed 8:00PM","2561","48.32","95%","-0.8%","8.3","2.6","0.9","16.8","0.4","3.8","5.9","0.7","0.2","2.8","0.04","0.00","0.0","4"
"*05uj4*","Santi Aldama","MEM","F,C,Flx","88","Sar","Reserve","UTA Wed 8:00PM","2514","47.43","79%","-1.9%","5.2","1.8","0.4","12.7","1.6","6.7","2.8","0.8","0.5","1.0","0.08","0.00","0.0","10"
"*04ex6*","Isaiah Hartenstein","OKC","C,Flx","90","15","Active","@BOS Wed 7:30PM","2507","56.98","96%","-0.3%","3.6","0.0","0.7","11.1","3.0","11.2","3.9","0.8","1.0","1.7","0.00","0.00","0.0","23"
"*06cc1*","Bilal Coulibaly","WAS","G,F,Flx","89","TRUMP","Inj Res","","2507","42.49","87%","-1.7%","6.1","1.1","0.8","12.3","1.5","5.0","3.4","1.3","0.7","2.1","0.02","0.00","0.0","3"
"*02ym0*","Andrew Wiggins","MIA","F,Flx","91","J&J","Active","LAC Wed 8:00PM","2503","49.08","93%","-0.3%","7.8","2.1","0.9","17.7","1.5","4.6","2.5","0.9","0.8","1.5","0.00","0.00","0.0","3"
"*051pb*","Nicolas Claxton","BKN","C,Flx","94","15","Active","","2492","43.72","97%","-0.3%","3.7","0.0","1.1","10.1","2.2","7.3","2.2","0.9","1.5","1.2","0.07","0.05","0.0","11"
"*031m4*","Dennis Schroder","DET","G,Flx","95","15","Inj Res","","2451","40.85","82%","-0.1%","6.7","1.9","0.4","13.4","0.3","2.6","5.3","1.0","0.2","2.0","0.10","0.00","0.0","4"
"*02nfz*","Draymond Green","GS","F,C,Flx","96","DBD","Active","","2438","47.8","95%","-0.7%","4.2","1.1","0.8","8.9","1.1","6.2","5.9","1.4","1.0","2.4","0.24","0.02","0.0","5"
"*06216*","Shaedon Sharpe","POR","G,F,Flx","97","Fent","Reserve","NY Wed 10:00PM","2428","41.86","92%","-1.2%","8.0","1.9","0.6","17.4","0.8","4.0","2.6","0.8","0.2","1.9","0.02","0.00","0.0","1"
"*06215*","Bennedict Mathurin","IND","G,F,Flx","98","EE","Active","","2409","41.53","85%","-0.3%","6.4","1.4","0.7","16.2","1.2","5.4","1.9","0.6","0.4","1.9","0.05","0.02","0.0","7"
"*04848*","Fred VanVleet","HOU","G,Flx","99","Tribunal","Inj Res","PHO Wed 8:00PM","2406","52.3","97%","-0.4%","8.0","2.6","0.4","14.4","0.7","3.9","5.8","1.6","0.4","1.5","0.04","0.04","0.0","4"
"*027ou*","Klay Thompson","DAL","G,F,Flx","100","TRH","Active","@SA Wed 8:00PM","2399","41.36","92%","-0.6%","7.3","3.2","0.1","14.5","0.7","3.5","2.1","0.8","0.5","1.3","0.00","0.00","0.0","0"
"*05uiz*","Quentin Grimes","PHI","G,F,Flx","101","15","Active","@TOR Wed 7:30PM","2397","39.3","72%","+0.4%","4.8","1.9","0.5","12.1","0.8","4.1","2.5","0.8","0.3","1.5","0.00","0.00","0.0","0"
"*06cdn*","Scoot Henderson","POR","G,Flx","102","420","Reserve","NY Wed 10:00PM","2388","41.17","92%","-1.7%","5.8","1.6","0.7","12.7","0.7","3.0","5.1","1.1","0.2","2.6","0.02","0.00","0.0","2"
"*051os*","P.J. Washington","DAL","F,Flx","104","TRH","Active","@SA Wed 8:00PM","2358","50.17","94%","-1.3%","6.6","1.6","0.8","14.0","1.6","8.1","2.3","1.2","1.1","1.9","0.04","0.02","0.0","13"
"*03xmt*","Guerschon Yabusele","PHI","F,C,Flx","105","BabyOil","Reserve","@TOR Wed 7:30PM","2343","39.05","57%","-7.6%","3.8","1.5","0.5","10.5","1.9","5.4","2.0","0.8","0.4","1.3","0.02","0.00","0.0","3"
"*051oi*","Ja Morant","MEM","G,Flx","106","420","Active","UTA Wed 8:00PM","2339","57.05","100%","0%","9.5","1.5","1.0","21.7","0.6","4.0","7.5","1.2","0.3","3.8","0.22","0.02","0.0","12"
"*05ujt*","Aaron Wiggins","OKC","G,F,Flx","107","EE","Active","@BOS Wed 7:30PM","2337","35.95","57%","-4%","4.6","1.7","0.2","11.6","1.1","3.8","1.6","0.8","0.3","0.9","0.02","0.00","0.0","2"
"*051p4*","Ty Jerome","CLE","G,Flx","108","ROMO","Active","","2335","38.92","59%","-5%","4.2","1.5","0.2","11.9","0.7","2.6","3.3","1.2","0.0","1.3","0.05","0.00","0.0","0"
