Player ID,Pick,Pos,Player,Team,Bid,Fantasy Team,Time (EDT),GP,FG-,3PTM,FT-,PTS,OREB,REB,AST,ST,BLK,TO,TF,EJ,3D,2D
*01uyj*,31,F,Paul George,PHI,24,Kevin O’Leary,10/18/2024 7:54,67,554,130,82,"1,504",81,373,139,85,107,141,2,0,0,4
*05qsq*,32,G,Tyrese Maxey,PHI,37,Shaq's Anus Ripples,10/18/2024 7:56,70,497,244,25,"1,154",58,308,318,68,72,115,1,0,0,3
*042n4*,33,G,Jamal Murray,DEN,20,15 Dream Team,10/18/2024 7:58,65,388,98,43,924,113,506,450,77,42,182,5,0,5,25
*051oj*,34,F,RJ Barrett,TOR,21,Diddled By Diddy,10/18/2024 8:00,69,433,74,52,970,114,401,300,213,48,135,3,0,0,8
*04qrp*,35,F,Miles Bridges,CHA,17,Stevens Underaged Experience,10/18/2024 8:01,66,513,173,39,"1,324",55,294,389,73,21,161,6,1,1,9
*049kb*,36,G,De'Aaron Fox,SAC/SA,36,Kamala's Gunz,10/18/2024 8:03,62,624,118,55,"1,459",54,298,392,91,25,174,3,0,0,9
*0621b*,37,G,Jalen Williams,OKC,26,Kamala's Gunz,10/18/2024 8:04,63,551,112,55,"1,336",52,340,332,101,44,140,3,0,0,3
*01eon*,38,F,DeMar DeRozan,SAC,19,Kevin O’Leary,10/18/2024 8:06,72,489,182,43,"1,313",129,501,157,49,34,95,0,0,0,15
*0011e*,39,F,LeBron James,LAL,42,15 Dream Team,10/18/2024 8:08,72,152,0,71,845,253,737,185,50,80,124,4,0,0,37
*027p0*,40,C,Nikola Vucevic,CHI,23,Weinstein Wranglers,10/18/2024 8:09,66,525,202,47,"1,512",20,289,280,55,12,191,0,0,0,4
*05uiu*,41,F,Jalen Johnson,ATL,23,Tauras’ Torn Johnson,10/18/2024 8:10,60,544,70,67,"1,160",100,465,353,89,61,173,5,0,1,24
*05qug*,42,G,Anthony Edwards,MIN,49,Tauras’ Torn Johnson,10/18/2024 8:11,62,463,142,21,"1,170",59,379,339,74,26,154,5,0,1,10
*03nwm*,43,G,Devin Booker,PHO,37,Shaq's Anus Ripples,10/18/2024 8:14,75,770,221,58,"1,623",43,351,257,64,24,188,7,1,0,4
*0621c*,44,C,Jalen Duren,DET,18,P Diddy’s Slip & Slide,10/18/2024 8:16,64,288,22,75,896,181,535,238,90,80,130,2,2,3,21
*042nq*,45,G,Dejounte Murray,NO,25,Kevin O’Leary,10/18/2024 8:17,46,399,31,76,"1,152",125,535,158,57,96,96,1,0,0,33
*03ajv*,46,F,Julius Randle,MIN,19,Stevens Underaged Experience,10/18/2024 8:19,43,497,152,73,"1,197",36,363,337,80,19,161,11,0,5,21
*04qsa*,47,G,Jalen Brunson,NY,35,Stevens Underaged Experience,10/18/2024 8:20,69,595,76,50,"1,517",43,269,297,61,28,97,5,0,0,3
*042n1*,48,F,Brandon Ingram,NO/TOR,19,Epstein Experience,10/18/2024 8:22,69,409,118,78,"1,124",92,481,260,67,33,181,1,0,1,14
*04qrm*,49,G,Collin Sexton,UTA,9,Diddled By Diddy,10/18/2024 8:24,74,549,154,21,"1,332",64,238,271,71,40,120,0,0,0,1
*05qto*,50,G,LaMelo Ball,CHA,46,Epstein Experience,10/18/2024 8:25,68,489,154,36,"1,198",90,325,146,103,60,88,1,0,0,1
*04ewf*,51,C,Bam Adebayo,MIA,29,President of Retarded Operations,10/18/2024 8:27,67,574,203,29,"1,370",24,245,299,63,13,156,0,0,0,2
*04848*,52,G,Fred VanVleet,HOU,22,Kevin O’Leary,10/18/2024 8:28,52,614,161,35,"1,369",15,174,317,91,21,124,0,0,1,8
*01eo6*,53,G,James Harden,LAC,41,Shaq's Anus Ripples,10/18/2024 8:29,67,261,40,46,875,201,586,151,62,62,74,3,0,0,24
*04ewn*,54,F,OG Anunoby,NY,7,15 Dream Team,10/18/2024 8:31,73,320,80,35,"1,106",91,370,180,79,36,74,1,0,0,5
*02xg9*,55,C,Rudy Gobert,MIN,21,Rudy Homo,10/18/2024 8:32,74,295,129,5,643,29,265,559,93,16,113,7,1,0,12
*04qrj*,56,C,Jaren Jackson,MEM,21,Tauras’ Torn Johnson,10/18/2024 8:33,65,150,0,73,730,234,690,116,51,94,86,4,1,0,31
*05uiq*,57,C,Alperen Sengun,HOU,33,Tauras’ Torn Johnson,10/18/2024 8:35,73,346,128,22,937,105,365,130,50,135,75,0,0,0,3
*05qu9*,58,G,Immanuel Quickley,TOR,24,Tauras’ Torn Johnson,10/18/2024 8:36,66,386,143,47,"1,019",79,434,104,54,123,115,3,0,0,12
*03el5*,59,C,Kristaps Porzingis,BOS,16,Weinstein Wranglers,10/18/2024 8:39,57,136,6,69,630,261,695,96,34,136,86,2,0,0,27
*04azw*,60,F,Lauri Markkanen,UTA,30,Epstein Experience,10/18/2024 8:40,72,411,237,13,"1,020",93,271,243,63,13,69,0,0,0,4
*027pe*,61,F,Jimmy Butler,MIA/GS,25,Rudy Homo,10/18/2024 8:42,74,465,169,31,"1,067",83,448,168,57,68,98,8,1,0,10
*02nf3*,62,G,Bradley Beal,PHO,11,Stevens Underaged Experience,10/18/2024 8:43,68,408,88,73,895,98,337,424,98,34,222,3,0,4,12
*05uj1*,63,G,Cameron Thomas,BKN,12,President of Retarded Operations,10/18/2024 8:45,75,396,98,22,936,119,442,154,105,67,82,3,1,0,10
*03ams*,64,G,Zach LaVine,CHI/SAC,13,Diddled By Diddy,10/18/2024 8:46,70,646,215,19,"1,348",25,189,336,60,5,143,1,0,0,2
*05uii*,65,F,Franz Wagner,ORL,16,Weinstein Wranglers,10/18/2024 8:47,64,571,221,30,"1,299",29,195,289,84,27,199,8,0,0,1
*05uib*,66,G,Cade Cunningham,DET,36,Epstein Experience,10/18/2024 8:48,62,437,90,61,"1,165",132,434,289,42,15,174,1,0,0,12
*04qrn*,67,F,Mikal Bridges,NY,13,Kevin O’Leary,10/18/2024 8:49,59,574,109,73,"1,322",80,347,273,73,19,154,6,0,0,5
*05uus*,68,G,Austin Reaves,LAL,8,Give me the fentanyl,10/18/2024 8:51,59,579,132,31,"1,212",68,455,229,43,42,124,7,1,1,13
*06mjt*,69,F,Zaccharie Risacher,ATL,3,Epstein Experience,10/18/2024 8:51,55,573,93,40,"1,332",53,313,258,68,20,132,2,0,0,3
*05uid*,70,F,Evan Mobley,CLE,22,Tauras’ Torn Johnson,10/18/2024 8:52,50,498,144,18,"1,234",60,240,231,66,23,111,0,0,0,0
*05qt3*,71,G,Desmond Bane,MEM,16,Kevin O’Leary,10/18/2024 8:54,55,207,1,47,802,181,531,154,65,68,105,1,0,0,22
*042n6*,72,C,Jakob Poeltl,TOR,10,15 Dream Team,10/18/2024 8:56,72,349,121,33,796,165,419,160,110,47,104,0,0,0,3
*04ewr*,73,F,Kyle Kuzma,WAS/MIL,8,Diddled By Diddy,10/18/2024 8:57,71,426,146,12,892,141,477,101,55,64,58,0,0,0,11
*04ewm*,74,C,Jarrett Allen,CLE,26,Rudy Homo,10/18/2024 8:58,55,494,104,108,"1,181",57,354,306,42,15,164,4,0,2,10
*06cca*,75,F,Brandon Miller,CHA,9,Kamala's Gunz,10/18/2024 9:00,47,597,179,36,"1,184",47,232,346,54,13,167,2,0,0,13
*01eo9*,76,G,Jrue Holiday,BOS,9,Stevens Underaged Experience,10/18/2024 9:01,60,492,133,23,"1,072",29,227,345,58,38,148,5,0,0,4
*051ol*,77,G,Darius Garland,CLE,8,Kevin O’Leary,10/18/2024 9:02,53,458,158,26,"1,124",47,268,188,56,39,103,3,0,0,2
*049kd*,78,C,Deandre Ayton,POR,10,Diddled By Diddy,10/18/2024 9:04,75,545,292,42,"1,225",45,203,131,70,5,81,8,1,0,1
*051pb*,79,C,Nicolas Claxton,BKN,9,15 Dream Team,10/18/2024 9:05,69,409,85,21,954,64,419,154,70,55,76,5,0,0,5
*02nfz*,80,F,Draymond Green,GS,3,Diddled By Diddy,10/18/2024 9:06,57,392,159,24,"1,070",54,247,194,53,25,99,2,0,0,2
*06210*,81,F,Paolo Banchero,ORL,25,Stevens Underaged Experience,10/18/2024 9:07,74,347,152,6,761,39,180,408,62,7,88,0,0,0,6
*03lg1*,82,G,Ben Simmons,BKN/LAC,1,The Retirement Home,10/18/2024 9:08,56,556,171,49,"1,183",42,212,227,46,24,106,4,0,0,0
*06213*,83,F,Keegan Murray,SAC,3,The Retirement Home,10/18/2024 9:09,69,374,145,44,960,52,288,194,66,21,123,0,0,0,2
*04ewt*,84,G,Derrick White,BOS,17,P Diddy’s Slip & Slide,10/18/2024 9:09,73,269,8,19,778,177,582,154,35,45,113,5,0,0,19
*031lx*,85,G,CJ McCollum,NO,10,Kamala's Gunz,10/18/2024 9:11,52,191,0,36,586,150,568,203,41,56,92,0,0,0,28
*0496e*,86,G,Alex Caruso,OKC,8,President of Retarded Operations,10/18/2024 9:13,58,449,127,57,"1,054",84,258,150,57,49,96,0,0,0,3
*03ad2*,87,C,Myles Turner,IND,16,Stevens Underaged Experience,10/18/2024 9:14,56,441,151,22,806,32,216,312,89,24,81,2,3,0,4
*03ad4*,88,G,D'Angelo Russell,LAL/BKN,18,Stevens Underaged Experience,10/18/2024 9:16,72,275,77,41,695,60,244,319,97,26,124,3,0,1,9
*04qs1*,89,G,Anfernee Simons,POR,4,Kevin O’Leary,10/18/2024 9:18,60,256,69,42,547,65,366,338,87,63,150,12,1,0,5
*04qrr*,90,F,Michael Porter,DEN,5,Kevin O’Leary,10/18/2024 9:19,65,238,3,70,668,151,494,145,56,98,85,4,3,0,13
*051p8*,91,G,Jordan Poole,WAS,4,Tauras’ Torn Johnson,10/18/2024 9:20,53,436,166,46,"1,199",20,174,117,68,9,100,0,0,0,1
*027p4*,92,F,Tobias Harris,DET,19,Tauras’ Torn Johnson,10/18/2024 9:22,67,544,131,43,"1,191",65,288,174,54,16,135,1,0,0,1
*04ex6*,93,C,Isaiah Hartenstein,OKC,4,15 Dream Team,10/18/2024 9:23,69,209,0,71,619,240,561,90,35,93,80,0,0,0,12
*06212*,94,F,Jabari Smith,HOU,5,Diddled By Diddy,10/18/2024 9:24,60,490,153,50,997,24,224,346,42,9,162,2,0,0,4
*051on*,95,G,Coby White,CHI,18,Diddled By Diddy,10/18/2024 9:25,69,452,120,31,914,23,180,375,64,12,131,7,0,0,7
*005ki*,96,C,Brook Lopez,MIL,4,Shaq's Anus Ripples,10/18/2024 9:26,59,459,144,23,967,31,234,173,74,33,78,1,0,0,2
*005kc*,97,G,Russell Westbrook,DEN,4,Give me the fentanyl,10/18/2024 9:27,47,262,25,57,802,112,266,258,57,16,67,0,0,3,6
*03nwl*,98,G,Terry Rozier,MIA,5,Rudy Homo,10/18/2024 9:28,60,393,71,46,906,97,368,108,92,30,80,2,0,0,10
*051pi*,99,C,Daniel Gafford,DAL,10,President of Retarded Operations,10/18/2024 9:29,67,425,95,47,"1,082",79,360,124,41,24,127,3,1,0,8
*03nwn*,100,F,Bobby Portis,MIL,2,The Retirement Home,10/18/2024 9:31,73,504,85,84,"1,039",75,242,272,69,18,150,0,0,0,3
*03e6n*,101,C,Jusuf Nurkic,PHO/CHA,7,Kamala's Gunz,10/18/2024 9:32,68,267,100,37,727,130,385,141,54,24,86,1,0,0,3
*05qtr*,102,G,Devin Vassell,SA,3,President of Retarded Operations,10/18/2024 9:34,69,296,169,7,642,51,332,152,65,31,60,2,0,0,1
*06217*,103,G,Dyson Daniels,ATL,3,Tauras’ Torn Johnson,10/18/2024 9:35,58,303,104,26,730,88,379,168,44,29,59,4,0,0,10
*06ca8*,104,F,Amen Thompson,HOU,3,P Diddy’s Slip & Slide,10/18/2024 9:35,59,430,96,52,771,117,391,133,39,92,94,0,0,0,9
*06mk9*,105,F,Dalton Knecht,LAL/CHA,1,Give me the fentanyl,10/18/2024 9:36,73,360,101,44,808,16,186,307,66,17,91,3,0,0,4
*05qtj*,106,F,Deni Avdija,POR,3,President of Retarded Operations,10/18/2024 9:37,66,482,201,7,946,43,235,136,46,28,85,0,0,0,0
*0017e*,107,G,Chris Paul,SA,2,Shaq's Anus Ripples,10/18/2024 9:38,52,344,83,47,774,79,409,119,60,56,106,3,1,0,14
*05uic*,108,G,Jalen Green,HOU,5,Kamala's Gunz,10/18/2024 9:39,66,398,105,48,837,52,198,335,68,13,177,1,0,0,2
*03e6s*,109,C,Clint Capela,ATL,4,President of Retarded Operations,10/18/2024 9:40,41,436,79,99,"1,060",45,297,193,34,26,116,4,0,0,8
*042nt*,110,C,Ivica Zubac,LAC,3,Shaq's Anus Ripples,10/18/2024 9:40,74,301,129,37,863,94,275,126,28,14,44,0,0,0,1
*05uih*,111,F,Jonathan Kuminga,GS,2,Tauras’ Torn Johnson,10/18/2024 9:42,67,284,103,19,816,48,167,224,77,2,85,4,0,0,0
*05uif*,112,G,Jalen Suggs,ORL,2,The Retirement Home,10/18/2024 9:42,71,363,84,40,907,102,332,113,47,18,67,1,0,0,3
*03al0*,113,F,Aaron Gordon,DEN,3,Give me the fentanyl,10/18/2024 9:43,44,418,67,49,982,26,183,330,54,11,165,10,1,1,13
*04ewu*,114,G,Josh Hart,NY,4,Epstein Experience,10/18/2024 9:44,64,121,3,45,473,156,436,126,47,94,69,6,1,0,15
*0621e*,115,C,Mark Williams,CHA/LAL,3,Kamala's Gunz,10/18/2024 9:46,59,423,104,32,"1,072",58,163,246,41,5,154,6,0,0,2
*04qru*,116,G,Donte DiVincenzo,MIN,10,Rudy Homo,10/18/2024 9:47,74,413,183,11,836,44,241,130,66,21,87,0,0,0,0
*051op*,117,F,Rui Hachimura,LAL,1,P Diddy’s Slip & Slide,10/18/2024 9:47,71,486,175,20,984,73,264,124,59,15,74,15,1,0,0
*06cdn*,118,G,Scoot Henderson,POR,4,Kevin O’Leary,10/18/2024 9:48,72,217,125,12,605,54,186,107,108,54,67,1,0,0,0
*0527h*,119,C,Naz Reid,MIN,2,Shaq's Anus Ripples,10/18/2024 9:49,74,381,114,13,676,31,299,305,50,18,122,3,0,0,4
*03ad0*,120,G,Tyus Jones,PHO,2,Diddled By Diddy,10/18/2024 9:50,66,311,155,11,666,87,274,108,75,39,46,5,2,0,0
*0015e*,121,G,Mike Conley,MIN,5,President of Retarded Operations,10/18/2024 9:51,70,333,120,12,819,76,264,119,55,18,59,1,0,0,2
*027ou*,122,F,Klay Thompson,DAL,1,The Retirement Home,10/18/2024 9:51,62,317,56,26,828,71,303,177,66,10,98,3,1,0,6
*06cby*,123,G,Keyonte George,UTA,2,Give me the fentanyl,10/18/2024 9:52,59,361,63,47,727,91,294,199,78,41,125,1,0,1,3
*031m0*,124,C,Kelly Olynyk,TOR/NO,2,Rudy Homo,10/18/2024 9:53,59,367,143,36,"1,003",43,233,83,42,10,76,4,0,0,1
*04qry*,125,G,Grayson Allen,PHO,4,Rudy Homo,10/18/2024 9:54,51,109,0,52,627,139,350,73,21,96,61,1,0,0,8
*06ccv*,126,C,Trayce Jackson-Davis,GS,1,Shaq's Anus Ripples,10/18/2024 9:55,36,271,44,32,680,62,359,181,56,36,106,2,0,1,20
*049ka*,127,G,Lonzo Ball,CHI,1,Stevens Underaged Experience,10/18/2024 9:56,57,295,99,6,633,66,240,218,62,26,73,0,0,0,1
*031m4*,128,G,Dennis Schroder,BKN/GS/DET,13,15 Dream Team,10/18/2024 9:56,64,251,119,9,544,29,164,283,76,13,68,0,0,0,1
*0621l*,129,C,Walker Kessler,UTA,2,Shaq's Anus Ripples,10/18/2024 9:57,59,168,18,30,550,208,452,56,32,74,74,1,0,0,10
*06cc8*,130,C,Dereck Lively,DAL,7,Rudy Homo,10/18/2024 9:58,56,313,156,13,651,30,211,210,68,15,84,1,1,0,1
*04ewk*,131,F,John Collins,UTA,1,Kamala's Gunz,10/18/2024 9:59,71,243,95,21,745,51,280,114,43,24,60,0,0,0,2
*031lz*,132,C,Steven Adams,HOU,5,Kevin O’Leary,10/18/2024 9:59,75,315,129,21,694,45,236,191,46,27,93,0,0,0,1
*000zv*,133,C,Al Horford,BOS,2,Give me the fentanyl,10/18/2024 9:59,51,256,58,21,624,117,331,71,90,44,58,4,1,0,6
*05uj9*,134,F,Herbert Jones,NO,1,Epstein Experience,10/18/2024 10:00,74,345,152,8,703,64,283,100,59,31,67,1,1,0,0
*06cc2*,135,G,Gradey Dick,TOR,2,Shaq's Anus Ripples,10/18/2024 10:00,71,270,15,18,652,39,174,318,77,17,101,2,0,0,2
*05uir*,136,F,Trey Murphy,NO,1,Stevens Underaged Experience,10/18/2024 10:03,48,312,92,24,832,33,164,174,49,25,92,1,0,0,1
*05qty*,137,C,Jalen Smith,CHI,1,P Diddy’s Slip & Slide,10/18/2024 10:03,39,156,0,29,597,119,394,101,28,51,54,0,0,0,18
*06mju*,138,C,Alex Sarr,WAS,1,Kamala's Gunz,10/18/2024 10:04,63,238,70,6,524,66,216,158,110,34,55,1,0,0,0
*02nf9*,139,C,Andre Drummond,PHI,1,The Retirement Home,10/18/2024 10:04,38,266,88,33,739,64,266,76,30,61,48,4,0,0,6
*06214*,140,G,Jaden Ivey,DET,1,Epstein Experience,10/18/2024 10:05,47,404,138,23,892,72,278,70,33,17,66,0,0,0,5
*06cc7*,141,G,Brandin Podziemski,GS,1,Weinstein Wranglers,10/18/2024 10:05,40,251,59,25,758,89,327,80,39,40,103,2,0,0,13
*06mk3*,142,F,Matas Buzelis,CHI,3,P Diddy’s Slip & Slide,10/18/2024 10:06,62,241,35,42,562,138,461,124,41,35,70,5,1,0,10
*051p9*,143,F,Keldon Johnson,SA,1,Epstein Experience,10/18/2024 10:06,56,378,109,23,714,19,157,285,54,22,105,2,0,0,3
*06cbx*,144,F,Jaime Jaquez,MIA,1,Weinstein Wranglers,10/18/2024 10:07,73,254,135,6,592,33,264,145,67,13,76,5,0,0,1
*03wr4*,145,G,T.J. McConnell,IND,1,Weinstein Wranglers,10/18/2024 10:07,56,298,90,21,608,57,276,188,60,12,61,1,0,0,2
*03aq2*,146,F,Jerami Grant,POR,1,Weinstein Wranglers,10/18/2024 10:09,73,446,115,28,750,60,269,151,79,29,99,4,1,0,0
