Player ID,Pick,Pos,Player,Team,Bid,Fantasy Team,Time (EDT),,,,,,,
*03nwm*,37,G,Devin Booker,PHO,29,Stairway to Kevin,10/21/2023 8:11,,,,,,,
*042n4*,38,G,Jamal Murray,DEN,25,Deez,10/21/2023 8:12,,,,,,,
*051oi*,39,G,Ja Morant,MEM,27,🚨Gianni… Fire the N Missile 🚨,10/21/2023 8:13,,,,,,,
*02nfz*,40,F,Draymond Green,GS,9,Pizza Time 🍕,10/21/2023 8:14,,,,,,,
*03el5*,41,F,Kristaps Porzingis,BOS,25,SpeckledGnu,10/21/2023 8:15,,,,,,,
*02ng3*,42,F,Khris Middleton,MIL,9,SpeckledGnu,10/21/2023 8:17,,,,,,,
*04azw*,43,F,Lauri Markkanen,UTA,26,Stairway to Kevin,10/21/2023 8:18,,,,,,,
*04ewm*,44,C,Jarrett Allen,CLE,18,SpeckledGnu,10/21/2023 8:19,,,,,,,
*049kd*,45,C,Deandre Ayton,POR,16,Big Black Coconuts,10/21/2023 8:20,,,,,,,
*05qug*,46,G,Anthony Edwards,MIN,36,Adam Silver's Sovereign Wealth Fund,10/21/2023 8:21,,,,,,,
*051oh*,47,F,Zion Williamson,NO,20,Chungus Szn,10/21/2023 8:22,,,,,,,
*06210*,48,F,Paolo Banchero,ORL,9,Stairway to Kevin,10/21/2023 8:23,,,,,,,
*06212*,49,F,Jabari Smith,HOU,8,Stairway to Kevin,10/21/2023 8:25,,,,,,,
*042n1*,50,F,Brandon Ingram,NO,15,SpeckledGnu,10/21/2023 8:25,,,,,,,
*01eon*,51,G,DeMar DeRozan,CHI,14,MyNword,10/21/2023 8:26,,,,,,,
*04qsa*,52,G,Jalen Brunson,NY,18,Adam Silver's Sovereign Wealth Fund,10/21/2023 8:27,,,,,,,
*02nf3*,53,G,Bradley Beal,PHO,12,MyNword,10/21/2023 8:28,,,,,,,
*042nq*,54,G,Dejounte Murray,ATL,32,Adam Silver's Sovereign Wealth Fund,10/21/2023 8:29,,,,,,,
*03al0*,55,F,Aaron Gordon,DEN,6,Pizza Time 🍕,10/21/2023 8:30,,,,,,,
*05uib*,56,G,Cade Cunningham,DET,20,Stairway to Kevin,10/21/2023 8:31,,,,,,,
*01eo9*,57,G,Jrue Holiday,BOS,13,MyNword,10/21/2023 8:32,,,,,,,
*05uid*,58,C,Evan Mobley,CLE,23,SpeckledGnu,10/21/2023 8:33,,,,,,,
