ID,Player,Team,Position,Status,Opponent,FPts,FP/G,GP,FG-,3PTM,FT-,PTS,OREB,REB,AST,ST,BLK,TO,TF,EJ,3D,2D
*04jwd*,Royce ONeale,PHO,"F,Flx",TRH,,3124,41.11,76,364,163,19,671,55,384,283,65,49,114,1,0,1,4
*05qsq*,Tyrese Maxey,PHI,"G,Flx",Sar,,3112,51.87,60,474,160,33,1218,23,176,212,49,8,80,0,0,0,0
*051oj*,RJ Barrett,TOR,"G,F,Flx",ROMO,,3108,42.58,73,666,121,102,1431,60,368,201,31,15,164,2,0,0,3
*042nw*,Malcolm Brogdon,WAS,"G,Flx",Fent,,3108,46.39,67,378,132,24,"1,000",42,280,248,45,18,98,0,0,0,0
*05qt0*,Saddiq Bey,NO,"F,Flx",FA,,3094,40.18,77,483,151,33,1062,98,362,118,70,13,71,1,0,0,4
*04qru*,Donte DiVincenzo,MIN,"G,Flx",ROMO,,3083,42.82,72,305,150,13,678,80,325,252,97,10,112,0,0,0,4
*03byk*,Jordan Clarkson,NY,"G,F,Flx",ROMO,,3050,50,61,573,155,45,1271,72,246,270,33,13,186,3,1,0,3
*05qt9*,Killian Hayes,(N/A),"G,Flx",FA,,3040,40,76,508,80,20,786,28,221,470,104,28,173,3,1,0,6
*042nf*,Caris LeVert,DET,"G,F,Flx",TRH,,3035,41.01,74,422,127,50,897,53,282,287,72,24,116,4,0,0,1
*04qrl*,Wendell Carter,ORL,"C,Flx",FA,,3013,52.86,57,291,80,51,868,120,497,132,30,33,106,4,0,0,21
*04ewk*,John Collins,LAC,"F,Flx",TRUMP,,3009,42.38,71,348,70,35,931,77,462,85,42,73,79,3,0,0,11
*02nf3*,Bradley Beal,LAC,"G,Flx",Tribunal,,3004,60.08,50,434,80,36,1160,41,196,271,45,33,145,3,0,0,2
*04qrr*,Michael Porter,BKN,"F,Flx",15,,2993,48.27,62,419,188,24,1080,64,341,65,37,29,68,2,1,0,3
*049s6*,Markelle Fultz,SAC,"G,Flx",FA,,2984,49.73,60,330,27,31,837,69,234,341,87,26,139,0,0,0,3
*049kc*,Malik Monk,SAC,"G,Flx",EE,,2958,38.42,77,439,143,23,1041,32,203,298,49,20,146,5,3,0,0
*031lv*,Kentavious Caldwell-Pope,MEM,"G,F,Flx",FA,,2957,38.91,76,340,135,22,822,35,208,183,112,35,86,5,0,0,0
*0527l*,Luguentz Dort,OKC,"F,Flx",ROMO,,2954,39.92,74,534,135,59,1013,128,344,154,75,23,92,1,0,0,5
*04qse*,Gary Trent,MIL,"G,F,Flx",FA,,2953,44.74,66,530,166,33,1148,30,173,106,104,14,55,2,0,0,0
*000zv*,Al Horford,BOS,"C,Flx",Fent,,2945,46.75,63,251,145,6,616,73,390,189,30,61,37,0,1,0,7
*0621g*,Tari Eason,HOU,"F,Flx",EE,,2938,35.83,82,364,59,36,760,195,496,88,96,47,101,4,1,0,7
*0621c*,Jalen Duren,DET,"C,Flx",BabyOil,,2901,43.3,67,140,0,61,612,229,595,75,44,59,92,3,0,0,19
*04qsd*,Mitchell Robinson,NY,"C,Flx",FA,,2901,49.17,59,92,0,63,435,267,555,53,56,109,41,0,0,0,13
*05qtj*,Deni Avdija,POR,"G,F,Flx",PRO,,2885,37.96,76,326,69,43,697,74,487,211,65,29,123,1,0,0,11
*03al1*,Marcus Smart,LAL,"G,Flx",FA,,2883,47.26,61,352,115,30,703,46,191,382,93,23,143,10,3,0,6
*051pi*,Daniel Gafford,DAL,"C,Flx",FA,,2877,36.88,78,106,0,60,705,163,433,84,33,99,85,1,0,0,10
*03wr4*,T.J. McConnell,IND,"G,Flx",MylS,,2848,37.97,75,238,26,10,650,45,234,397,81,10,143,2,0,1,6
*06215*,Bennedict Mathurin,IND,"G,F,Flx",EE,,2833,36.32,78,538,100,78,1302,87,318,116,48,13,152,4,0,0,0
*042ne*,Malik Beasley,DET,"G,Flx",BabyOil,,2817,34.78,81,567,235,15,1025,35,283,124,65,9,90,2,0,0,1
*05qsl*,Patrick Williams,CHI,"F,Flx",FA,,2816,34.34,82,363,115,15,833,78,327,100,72,70,101,0,0,0,1
*042n1*,Brandon Ingram,TOR,"F,Flx",FA,,2807,62.38,45,431,64,32,1112,23,246,262,32,19,148,2,0,2,6
*031mb*,Tim Hardaway,DEN,"G,F,Flx",FA,,2748,38.7,71,507,212,38,1019,21,251,129,49,12,60,1,0,0,0
*05qto*,LaMelo Ball,CHA,"G,Flx",J&J,,2736,76,36,425,144,20,838,42,231,304,46,11,129,6,1,3,17
*03e6n*,Jusuf Nurkic,UTA,"C,Flx",MylS,,2725,52.4,52,243,43,65,694,114,471,149,43,44,119,2,0,0,18
*0558t*,Max Strus,CLE,"G,F,Flx",FA,,2716,33.95,80,466,197,11,923,49,258,171,42,12,70,4,0,0,2
*04jw5*,Torrey Craig,BOS,"F,Flx",FA,,2679,33.91,79,272,100,13,588,145,426,117,50,62,73,1,0,0,4
*04ewc*,Zach Collins,CHI,"F,C,Flx",FA,,2673,42.43,63,264,55,34,731,116,402,180,37,49,129,4,2,0,9
*0621u*,Andrew Nembhard,IND,"G,Flx",FA,,2645,35.27,75,360,92,13,709,35,199,341,70,13,126,2,0,0,5
*051pw*,Jalen McDaniels,(N/A),"F,Flx",FA,,2622,32.77,80,336,77,22,755,63,346,130,83,34,93,5,0,0,3
*05uiz*,Quentin Grimes,PHI,"G,F,Flx",15,,2614,36.82,71,320,157,20,799,49,229,150,47,26,69,0,0,0,0
*05uj9*,Herbert Jones,NO,"F,Flx",FA,,2603,39.44,66,266,56,38,649,97,269,162,103,42,88,4,0,0,0
*04fj8*,Chris Boucher,BOS,"F,Flx",FA,,2594,34.13,76,268,62,40,712,157,421,29,47,64,41,3,0,0,9
*04qry*,Grayson Allen,PHO,"G,Flx",MylS,,2592,36,72,312,146,12,750,61,237,163,62,14,72,3,0,0,0
*04exe*,Monte Morris,PHO,"G,Flx",FA,,2579,41.6,62,268,78,13,636,26,210,326,43,13,60,0,0,0,2
*05qtl*,Cole Anthony,MIL,"G,Flx",BabyOil,,2575,42.92,60,333,75,18,781,47,288,235,37,31,91,4,0,0,1
*05uus*,Austin Reaves,LAL,"G,F,Flx",PRO,,2564,40.06,64,231,86,36,833,33,193,215,33,19,99,1,0,0,1
*04xdu*,Drew Eubanks,SAC,"C,Flx",FA,,2560,32.82,78,120,7,42,518,132,418,103,40,102,67,3,0,0,3
*05uj4*,Santi Aldama,MEM,"F,C,Flx",Sar,,2546,33.06,77,278,94,36,696,85,371,97,45,48,60,2,0,0,4
*04ex6*,Isaiah Hartenstein,OKC,"C,Flx",15,,2540,30.98,82,152,8,23,406,209,536,102,53,64,66,1,0,0,2
*055qo*,Caleb Martin,DAL,"F,Flx",FA,,2513,35.39,71,294,84,22,683,88,344,117,71,31,78,2,1,0,2
*04ex8*,Dillon Brooks,PHO,"G,F,Flx",TRH,,2505,34.32,73,599,143,34,1047,45,244,189,65,16,104,18,2,0,0
*0015b*,Kyle Lowry,PHI,"G,Flx",FA,,2488,45.24,55,289,107,19,615,43,225,281,57,21,103,5,0,1,2
*0527h*,Naz Reid,MIN,"F,C,Flx",Fent,,2460,36.18,68,267,75,41,781,73,333,77,42,53,92,3,0,0,4
*051ps*,Terance Mann,BKN,"G,F,Flx",FA,,2450,30.25,81,252,77,26,713,77,276,184,42,22,80,5,1,0,1
*04qs9*,Jevon Carter,CHI,"G,Flx",FA,,2447,30.21,81,326,142,7,651,35,202,197,66,29,78,2,0,0,1
*051ok*,DeAndre Hunter,CLE,"F,Flx",EE,,2444,36.48,67,443,100,36,1029,46,284,94,35,17,82,1,0,0,1
*051p2*,Grant Williams,CHA,"F,Flx",FA,,2443,30.92,79,260,115,28,641,87,363,131,41,31,82,6,2,0,3
*03r7z*,Norman Powell,MIA,"G,F,Flx",Sar,,2441,40.68,60,370,114,52,1019,24,175,109,50,18,101,3,0,0,0
*031m4*,Dennis Schroder,SAC,"G,Flx",PRO,,2419,36.65,66,380,74,36,830,21,165,298,50,10,112,6,0,0,2
*051on*,Coby White,CHI,"G,Flx",DBD,,2393,32.34,74,331,128,9,715,16,212,204,54,6,74,1,0,0,1
*05uip*,Corey Kispert,WAS,"F,Flx",FA,,2354,31.81,74,294,163,13,820,33,207,87,32,9,55,0,0,0,0
*05qt4*,Aaron Nesmith,IND,"F,Flx",15,,2340,32.05,73,338,115,23,738,62,277,98,55,34,75,2,0,0,1
*05ujc*,Ayo Dosunmu,CHI,"G,F,Flx",FA,,2338,29.23,80,289,59,16,687,45,220,206,62,26,99,0,0,0,0
*005kf*,Eric Gordon,PHI,"G,F,Flx",FA,,2336,33.86,69,362,132,31,856,16,134,183,43,25,104,0,0,0,0
*03nwk*,Kelly Oubre Jr.,PHI,"F,Flx",FA,,2309,48.1,48,466,108,50,972,65,249,54,68,18,64,11,0,0,3
*051po*,Bol Bol,PHO,"F,C,Flx",FA,,2298,32.83,70,217,30,26,634,69,405,69,30,85,112,1,0,0,6
*005l0*,Nicolas Batum,LAC,"F,Flx",FA,,2295,29.42,78,221,124,14,478,62,299,121,54,44,50,0,0,0,0
*03e6u*,Bogdan Bogdanovic,LAC,"G,F,Flx",FA,,2258,41.81,54,338,146,13,756,23,165,150,43,18,65,1,0,0,0
*05qty*,Jalen Smith,CHI,"C,Flx",FA,,2240,32.94,68,266,54,33,642,129,394,66,21,60,72,1,0,0,7
*05qzh*,Naji Marshall,DAL,"F,Flx",420,,2226,28.91,77,324,66,37,698,48,279,189,54,14,97,7,0,0,0
*0496e*,Alex Caruso,OKC,"G,F,Flx",PRO,,2222,33.16,67,156,55,14,374,42,196,193,98,46,77,0,0,0,1
*03r7l*,Larry Nance,CLE,"F,C,Flx",FA,,2221,34.17,65,119,14,24,441,106,354,119,56,37,42,4,0,0,3
*031mc*,Reggie Bullock,(N/A),"F,Flx",FA,,2220,28.46,78,278,151,11,561,32,283,108,54,13,36,3,0,0,1
*043ib*,Dorian Finney-Smith,HOU,"F,Flx",FA,,2218,33.61,66,305,114,14,551,114,316,100,55,36,62,1,0,0,2
*031lz*,Steven Adams,HOU,"C,Flx",FA,,2193,52.21,42,106,0,82,361,214,485,97,36,46,79,2,0,0,15
*03r7u*,Josh Richardson,(N/A),"G,Flx",FA,,2190,33.69,65,315,107,12,654,41,175,174,69,20,86,4,1,0,1
*01uz7*,Gordon Hayward,(N/A),"F,Flx",FA,,2173,43.46,50,305,52,30,733,33,215,206,42,12,99,0,0,0,2
*05qsp*,Isaiah Joe,OKC,"G,Flx",FA,,2162,29.62,73,284,161,18,691,27,175,88,48,8,39,0,0,0,0
*04qrs*,Troy Brown,(N/A),"F,Flx",FA,,2153,28.33,76,265,107,5,541,62,308,95,59,16,49,1,0,0,2
*05qtd*,Nick Richards,PHO,"C,Flx",FA,,2152,33.11,65,116,1,46,532,147,416,38,11,71,59,3,0,0,14
*06216*,Shaedon Sharpe,POR,"G,F,Flx",Fent,,2133,26.66,80,342,102,30,789,63,236,94,38,24,83,2,0,0,0
*051pq*,Talen Horton-Tucker,CHI,"G,Flx",FA,,2133,32.82,65,356,58,42,698,41,210,246,41,29,126,0,0,0,2
*04qso*,Keita Bates-Diop,(N/A),"F,Flx",FA,,2087,31.15,67,229,56,31,647,65,248,103,46,20,56,0,0,0,0
*03r7h*,Delon Wright,NY,"G,Flx",FA,,2079,41.58,50,153,41,8,369,58,180,194,92,17,44,0,0,0,0
*05qub*,Isaiah Stewart,DET,"C,Flx",FA,,2077,41.54,50,246,67,39,567,115,403,70,20,34,68,5,0,0,13
*027oy*,Marcus Morris,(N/A),"F,Flx",FA,,2070,31.85,65,369,112,19,728,29,258,114,42,21,56,10,2,0,2
*03e79*,Dwight Powell,DAL,"C,Flx",FA,,2062,27.13,76,72,0,56,506,149,314,69,48,26,65,0,0,0,1
*04qsu*,Shake Milton,LAL,"G,Flx",FA,,2056,27.05,76,262,56,17,637,39,191,240,25,13,94,2,0,0,3
*05uih*,Jonathan Kuminga,GS,"F,C,Flx",DBD,,2041,30.46,67,236,54,48,666,70,231,125,41,31,95,4,0,0,1
*051p1*,Brandon Clarke,MEM,"F,Flx",FA,,2023,36.12,56,120,1,38,558,92,310,72,34,37,55,2,0,0,6
*005kd*,Kevin Love,UTA,"F,Flx",FA,,2019,32.56,62,259,99,11,509,59,399,116,16,12,70,0,0,0,6
*051oh*,Zion Williamson,NO,"F,Flx",BabyOil,,2017,69.55,29,184,7,71,754,58,202,133,32,16,99,2,0,0,5
*05293*,John Konchar,MEM,"G,Flx",FA,,2016,28,72,182,60,8,364,64,310,100,77,25,37,0,0,0,2
*051or*,Cameron Johnson,DEN,"F,Flx",PRO,,2012,47.9,42,251,103,19,650,34,185,78,50,14,37,0,0,0,1
*05qtf*,Xavier Tillman,BOS,"C,Flx",FA,,2009,32.93,61,118,4,40,429,121,307,96,58,29,44,0,0,0,4
*027p9*,Reggie Jackson,(N/A),"G,Flx",FA,,1999,29.4,68,377,96,7,693,25,144,233,47,6,115,1,0,0,1
